"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"151678","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","201","Greenpoint","2005","2005-01-01T00:00:00.000","58.9",
"154595","643","Annual vehicle miles traveled","Million miles","per square mile","CD","312","Borough Park (CD12)","2005","2005-01-01T00:00:00.000","57.4",
"154603","643","Annual vehicle miles traveled","Million miles","per square mile","CD","402","Woodside and Sunnyside (CD2)","2005","2005-01-01T00:00:00.000","78.1",
"154616","643","Annual vehicle miles traveled","Million miles","per square mile","CD","501","St. George and Stapleton (CD1)","2005","2005-01-01T00:00:00.000","25.5",
"151668","643","Annual vehicle miles traveled","Million miles","per square mile","Borough","3","Manhattan","2005","2005-01-01T00:00:00.000","108.4",
"131350","661","Asthma hospitalizations due to Ozone","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","408","Jamaica","2005-2007","2005-01-01T00:00:00.000","7.9",
"130687","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","103","Fordham - Bronx Pk","2005","2005-01-01T00:00:00.000","2.7",
"131329","661","Asthma hospitalizations due to Ozone","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","208","Canarsie - Flatlands","2005-2007","2005-01-01T00:00:00.000","5.8",
"130715","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","403","Flushing - Clearview","2005","2005-01-01T00:00:00.000","1.9",
"131145","655","Asthma hospitalizations due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","305","Upper East Side","2005-2007","2005-01-01T00:00:00.000","6.5",
"131317","661","Asthma hospitalizations due to Ozone","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","103","Fordham - Bronx Pk","2005-2007","2005-01-01T00:00:00.000","14.4",
"130696","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","205","Sunset Park","2005","2005-01-01T00:00:00.000","3.2",
"131332","661","Asthma hospitalizations due to Ozone","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","211","Williamsburg - Bushwick","2005-2007","2005-01-01T00:00:00.000","19.8",
"130689","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","105","Crotona -Tremont","2005","2005-01-01T00:00:00.000","3.0",
"131143","655","Asthma hospitalizations due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","303","East Harlem","2005-2007","2005-01-01T00:00:00.000","43.1",
"151658","643","Annual vehicle miles traveled","Million miles","per square mile","UHF42","408","Jamaica","2005","2005-01-01T00:00:00.000","41.0",
"151630","643","Annual vehicle miles traveled","Million miles","per square mile","UHF42","201","Greenpoint","2005","2005-01-01T00:00:00.000","63.2",
"131354","661","Asthma hospitalizations due to Ozone","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","502","Stapleton - St. George","2005-2007","2005-01-01T00:00:00.000","6.1",
"131349","661","Asthma hospitalizations due to Ozone","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","407","Southwest Queens","2005-2007","2005-01-01T00:00:00.000","4.2",
"151641","643","Annual vehicle miles traveled","Million miles","per square mile","UHF42","301","Washington Heights","2005","2005-01-01T00:00:00.000","88.6",
"130745","647","Outdoor Air Toxics - Formaldehyde","Annual average concentration","Âµg/m3","UHF42","206","Borough Park","2005","2005-01-01T00:00:00.000","2.9",
"130770","647","Outdoor Air Toxics - Formaldehyde","Annual average concentration","Âµg/m3","UHF42","410","Rockaways","2005","2005-01-01T00:00:00.000","2.0",
"154584","643","Annual vehicle miles traveled","Million miles","per square mile","CD","301","Greenpoint and Williamsburg (CD1)","2005","2005-01-01T00:00:00.000","58.5",
"130749","647","Outdoor Air Toxics - Formaldehyde","Annual average concentration","Âµg/m3","UHF42","210","Coney Island - Sheepshead Bay","2005","2005-01-01T00:00:00.000","2.5",
"130760","647","Outdoor Air Toxics - Formaldehyde","Annual average concentration","Âµg/m3","UHF42","310","Lower Manhattan","2005","2005-01-01T00:00:00.000","4.2",
"130685","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","101","Kingsbridge - Riverdale","2005","2005-01-01T00:00:00.000","2.9",
